"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
212,"NCT03611062","VR-based EF Rehabilitation for Pediatric TBI",,"Recruiting","No Results Available","Traumatic Brain Injury","Behavioral: VR Executive Functions Training|Behavioral: VR Placebo Game","Incidence of Simulator Sickness [Feasibility and Safety]|Incidence of Physical Fatigability [Feasibility and Safety]|Incidence of Perceived Virtual Reality Experience [Feasibility]|Incidence of Treatment-Emergent Adverse or Serious Adverse Events [Safety and Tolerability]|Performance-based Executive Function Skills in Virtual Reality|Real-life Executive Function Skills|Performance-based Attention Problems|Physical, Emotional, and Social Health and School Functioning [Quality of Life]|Parent Report-based Attention and Behavior Problems|Performance-based Executive Function Skills-Inhibitory Control and Attention|Performance-based Executive Function Skills-Working Memory|Performance-based Executive Function Skills-Cognitive Flexibility and Attention","Nationwide Children's Hospital|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","7 Years to 17 Years   (Child)","Not Applicable","30","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Other","IRB18-00472|1K99HD093814-01A1","August 15, 2018","June 30, 2020","June 30, 2020","August 2, 2018","null","November 21, 2018","Nationwide Children's Hospital, Columbus, Ohio, United States","","https://ClinicalTrials.gov/show/NCT03611062"
213,"NCT03606343","Teaching Academic Success Skills to Students With Autism Spectrum Disorders in Clinical Setting","TASK-R21","Recruiting","No Results Available","Autism Spectrum Disorder","Behavioral: Teaching Academic Skills to Kids","change in scores on Children's Organizational Skills Scale|change in scores on Behavior Rating Inventory of Executive Function - Second Edition|change in scores on Homework Problem Checklist|change in scores on Woodcock Johnson Tests of Achievement - Third Edition|change in ratings on Classroom Performance Survey|change in ratings on Academic Performance Rating System|change in scores on Parenting Relationship Questionnaire","Children's Hospital Medical Center, Cincinnati|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","11 Years to 14 Years   (Child)","Phase 1","30","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R21HD090334-01A1","September 1, 2017","August 31, 2019","August 31, 2019","July 30, 2018","null","July 30, 2018","Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States","","https://ClinicalTrials.gov/show/NCT03606343"
214,"NCT03467009","Bullying Prevention Intervention for Adolescent Primary Care Patients","iPACT","Recruiting","No Results Available","Cyberbullying","Behavioral: iPACT Intervention|Other: Control: Enhanced Usual Care (EUC)|Behavioral: iPACT Intervention- app","Intervention Acceptability: Enrollment Rate|Intervention Acceptability: Change in Follow Up Rate from 8 weeks post-enrollment to 16 weeks post-enrollment|Intervention Acceptability: Participant Satisfaction|Intervention Feasibility: Participant Engagement|Change in cyber-victimization between enrollment, 8 weeks post-enrollment, and 16 weeks post-enrollment|Change in cyber-victimization emotional impact between enrollment, 8 weeks post-enrollment, and 16 weeks post-enrollment|Change in cyber-victimization related behaviors between enrollment, 8 weeks post-enrollment, and 16 weeks post-enrollment","Rhode Island Hospital|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","13 Years to 17 Years   (Child)","Not Applicable","80","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","R21HD088739","March 6, 2018","July 31, 2019","July 31, 2019","March 15, 2018","null","March 29, 2019","Rhode Island Hospital, Providence, Rhode Island, United States","","https://ClinicalTrials.gov/show/NCT03467009"
215,"NCT03462407","Imitation-based Dog Assisted Intervention, for Children With Developmental Disabilities.",,"Recruiting","No Results Available","Physical Activity|Social Responsibility","Behavioral: DAID|Behavioral: Dog walking","Physical activity Change","Oregon State University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","8 Years to 17 Years   (Child)","Not Applicable","45","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","7848|1R21HD091895-01","May 1, 2017","April 30, 2019","April 30, 2019","March 12, 2018","null","March 20, 2019","Oregon State University, Corvallis, Oregon, United States","","https://ClinicalTrials.gov/show/NCT03462407"
216,"NCT03457402","Shaping Tolerance for Delayed Rewards","DelTA","Recruiting","No Results Available","Impulsivity","Behavioral: Shaping Delay Tolerance","Indifference point|Percent change in preference for longer, larger (LL) rewards|ADHD-RS-IV Preschool Version and Attention and Behavior Rating Form|The Preschool Life Skills Questionnaire|The Children's Behavior Questionnaire (CBQ)|Snack Delay Task|Dinky Toy Task|Gift Wrap and Gift Delay Task","University of California, Davis|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","3 Years to 6 Years   (Child)","Not Applicable","50","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Basic Science","921404|R03HD087091-01A1","September 12, 2017","May 2020","May 2021","March 7, 2018","null","October 12, 2018","UC Davis MIND Institute, Sacramento, California, United States","","https://ClinicalTrials.gov/show/NCT03457402"
217,"NCT03430570","An Emotion Regulation Intervention for Early Adolescent Risk Prevention",,"Recruiting","No Results Available","Risk Behavior|Risk Reduction|Emotion Regulation","Behavioral: Tablet TRAC Emotion Regulation Intervention","Emotion Regulation/Difficulties in Emotion Regulation Scale|Emotion Recognition/DANVA|Emotion Regulation/Emotion Regulation Checklist|Emotion Regulation/ The Regulation of Emotions Questionnaire|Emotion Regulation/Self Efficacy Questionnaire for Children|Emotion Regulation/Emotion Regulation Behavior Scale|Emotion Regulation/Affect Dysregulation Scale|Assessment Risk Behavior/Youth Risk Behavior Surveillance System|Distress Tolerance","Rhode Island Hospital|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","12 Years to 14 Years   (Child)","Not Applicable","125","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","R21HD089979","February 19, 2019","July 2019","September 2019","February 13, 2018","null","February 21, 2019","Rhode Island Hospital- Bradley Hasbro Children's Research Center, Providence, Rhode Island, United States","","https://ClinicalTrials.gov/show/NCT03430570"
218,"NCT03419611","Word Learning in Children With Autism",,"Recruiting","No Results Available","Autistic Disorders Spectrum","Behavioral: Multi-Modal|Other: Treatment as Usual|Behavioral: High Intensity Multi-Modal","Expressive Word Acquisition|Change in Expressive Word Acquisition|Receptive Word Acquisition|Change in Receptive Word Acquisition|Communication Complexity Scale|Change in Communication Complexity Scale","University of Kansas|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","5 Years to 10 Years   (Child)","Not Applicable","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","STUDY00140285|U54HD090216","November 1, 2016","May 31, 2021","May 31, 2021","February 2, 2018","null","June 28, 2018","University of Kansas, Lawrence, Kansas, United States","","https://ClinicalTrials.gov/show/NCT03419611"
219,"NCT03329066","Sleep Quality in High School Students With Asthma - II",,"Enrolling by invitation","No Results Available","Asthma|Sleep|Asthma in Children","Behavioral: MAST - Managing Asthma & Sleep in Teens|Behavioral: ASMA - Asthma Self-Management for Adol|Behavioral: Information & Referral Control Group","Change in Sleep Quality score|Change in Asthma Control score|Change in Asthma Management Skill - Symptom Prevention Total Score|Change in Asthma Management Skill - Symptom Prevention Steps|Change in Asthma Management Skill - Attack Management score|Change in Asthma Management Skill - Self-efficacy Score","Columbia University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","13 Years to 17 Years   (Child)","Not Applicable","84","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","AAAQ9707 - II|1R21HD086448-01A1","April 9, 2018","March 2019","July 2019","November 1, 2017","null","May 14, 2018","Columbia University, New York, New York, United States|Rhode Island Hospital, Providence, Rhode Island, United States","","https://ClinicalTrials.gov/show/NCT03329066"
220,"NCT03325647","TESTO: Testosterone Effects on Short-Term Outcomes in Infants With XXY","TESTO","Recruiting","No Results Available","Klinefelter Syndrome","Drug: Testosterone Cypionate 200 Milligram/Milliliter Injectable Solution|Drug: Placebo injectable saline","Change in Body Fat Percentage|Change in Composite Motor Score on Alberta Infant Motor Scale|Change in C14:1 Long Chain Acylcarnitines (LCAC) through targeted metabolomics|Change in height|Change in weight|Change in weight-for-length|Change in waist circumference|Change in serum leptin|Change in lipids|Change in insulin|Change in serum Luteinizing Hormone (LH)|Change in serum Follicle Stimulating Hormone (FSH)|Change in Inhibin B (INHB)|Change in Anti-Mullerian Hormone (AMH)|Change in Total Testosterone (Total T)|Change in Gross Motor Scores on the Peabody Developmental Motor Scales 2|Change in Gross Motor Scores on the Alberta Infant Motor Scales|Change in Fine Motor Scores|Change in Cognitive and Language Composite Scores on the Bayley III|Change in Adaptive Functioning|Change in Number and Type of Adverse Events|Change in Serum BCAA, other LCAC|Change in Pathway analysis","University of Colorado, Denver|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Male","31 Days to 90 Days   (Child)","Phase 4","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Care Provider, Investigator)|Primary Purpose: Treatment","17-1317|5K23HD092588-02","November 6, 2017","April 2022","October 2022","October 30, 2017","null","January 31, 2019","Children's Hospital Colorado, Aurora, Colorado, United States","","https://ClinicalTrials.gov/show/NCT03325647"
221,"NCT03291496","Microfluidic Assessment of Clinical Outcomes in Preterm Newborns",,"Recruiting","No Results Available","Neonatal SEPSIS","Other: Blood Collection Preterm|Other: Blood Collection Term","Prediction of Sepsis in Premature Neonates|Neutrophil Function of Premature Neonate during Development","University of Florida|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","23 Weeks to 42 Weeks   (Child)","","800","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","IRB201701566 N|R01HD089939","November 14, 2017","September 2022","September 2022","September 25, 2017","null","May 21, 2018","UF Health, Gainesville, Florida, United States","","https://ClinicalTrials.gov/show/NCT03291496"
222,"NCT03242772","Impact of Combined Medication and Behavioral Treatment for ASD & ADHD",,"Recruiting","No Results Available","Autism Spectrum Disorder|Attention Deficit Hyperactivity Disorder","Drug: Amphetamine|Behavioral: P-ESDM|Drug: Placebo Oral Tablet","Change in Adaptive Behavior|Change in Sustained Attention|Change in ADHD symptoms","Duke University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","36 Months to 84 Months   (Child)","Phase 2","78","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","Pro00085179|1P50HD093074-01","May 30, 2018","July 2021","July 2021","August 8, 2017","null","December 18, 2018","Duke Center for Autism and Brain Development, Durham, North Carolina, United States","","https://ClinicalTrials.gov/show/NCT03242772"
223,"NCT03204786","Intranasal Vasopressin Treatment in Children With Autism",,"Recruiting","No Results Available","Autism|Autism Spectrum Disorder|ASD","Drug: Vasopressin (USP) Injectable Solution [Vasostrict]|Drug: Placebo","Change from baseline in parent rated Social Responsiveness Scale, Second Edition (SRS-2) total scores during treatment.|Change from baseline in Clinical Global Impression (CGI) scores during treatment.|Change from baseline in Vineland Adaptive Behavior Scales, Third Edition (VABS-3) - Social Skills and Relationships Domain during treatment.|Change from baseline in parent rated Repetitive Behavior Scale Revised (RBS-R) scores during treatment.|Change from baseline in parent rated Spence Children's Anxiety Scale (SCAS) during treatment.|Change from baseline in parent rated Pediatric Quality of Life (PedsQL) inventory scores during treatment.|Change from baseline in Overt Aggression Scale (OAS) during treatment.|Change from baseline on Eye Gaze Assessment (eye tracking) during treatment.|Change from baseline on Reading the Mind in the Eyes Test (RMET) during treatment.|Change from baseline on the Developmental Neuropsychological Assessment, Second Edition (NEPSY-II) Theory of Mind Test during treatment.|Change from baseline the Diagnostic Analysis of Nonverbal Accuracy, Second Edition (DANVA-2) Child Voices Prosody Test during treatment.|Change from baseline on the Facial Emotion Recognition Test during treatment.|Change from baseline on electrocardiogram (EKG) during treatment.|Change from baseline on blood biomarkers vasopressin levels during treatment.|Change from baseline on clinical labs during treatment.|Change from baseline on blood pressure during treatment.|Change from baseline on the Dosage Record Treatment Emergent Symptom Scale (DOTES) during treatment.|Change from baseline in parent rated Stanford Social Motivation Scale (SSMS) total scores during treatment.","Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","6 Years to 17 Years   (Child)","Phase 2","100","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB-39972|1R01HD091972","February 20, 2018","December 2022","February 2023","July 2, 2017","null","May 21, 2018","Stanford University, Stanford, California, United States","","https://ClinicalTrials.gov/show/NCT03204786"
224,"NCT03152006","Adolescent Coordinated Transition Nigerian HIV+ Youth","ACT","Recruiting","No Results Available","HIV/AIDS","Other: ACT","Retention in care in care 6 months post-transfer|Retention in care 12 months post-transfer|Retention in care 24 months post-transfer|Viral Suppression|Mental Health and Wellbeing|Health Locus of Control|Social Support|Sexual Risk Behavior|Transition Readiness","University of Nevada, Las Vegas|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","13 Years to 17 Years   (Child)","Not Applicable","216","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","990070-4|R01HD089871","June 28, 2017","May 30, 2020","June 30, 2021","May 12, 2017","null","October 17, 2017","Institute of Human Virology, Abuja, FCT, Nigeria|Center for Integrated Health Program, Abuja, Nigeria|Centre for Clinical Care and Research, Abuja, Nigeria|Family Health International, Abuja, Nigeria|AIDS Prevention Initiative Nigeria, Lagos, Nigeria","","https://ClinicalTrials.gov/show/NCT03152006"
225,"NCT03135119","Integrating Animal-Assisted Therapy Into Trauma-Focused Cognitive-Behavioral Therapy for Maltreated Youth","TF-CBT+AAT","Recruiting","No Results Available","Child Abuse|Posttraumatic Stress","Behavioral: TF-CBT|Behavioral: TF-CBT+AAT","Change in scores on the UCLA PTSD Reaction Index for DSM-5|Change in scores on the Strengths and Difficulties Questionnaire|Change in scores on the Screen for Child Anxiety Related Disorders|Change in scores on the Moods and Feelings Questionnaire|Change in scores on the Emotion Regulation Checklist|Change in scores on the Emotion Regulation Index for Children and Adolescents","Milton S. Hershey Medical Center|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","6 Years to 17 Years   (Child)","Not Applicable","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","STUDY00006612","November 15, 2017","April 30, 2020","April 30, 2020","May 1, 2017","null","February 28, 2019","Penn State Hershey Medical Center-TLC Research and Treatment Center, Harrisburg, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT03135119"
226,"NCT03126292","Child Development and Primary Care",,"Recruiting","No Results Available","Parenting|Development, Child","Behavioral: Sit Down and Play|Other: Child Safety Handout","Change in parental knowledge regarding importance of verbal interactions|Participation in cognitively stimulating activities|Parent-child interactions","University of Illinois at Chicago|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","2 Months to 3 Months   (Child)","Not Applicable","60","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Outcomes Assessor)|Primary Purpose: Prevention","K23HD086295","October 20, 2017","July 2019","July 2019","April 24, 2017","null","May 1, 2018","University of Illinois at Chicago, Chicago, Illinois, United States","","https://ClinicalTrials.gov/show/NCT03126292"
227,"NCT03068910","Hyperandrogenemia and Altered Day-night LH Pulse Patterns","CRM008","Recruiting","No Results Available","Hyperandrogenism|Polycystic Ovary Syndrome|Puberty","Drug: Micronized progesterone|Drug: Spironolactone|Drug: Placebo","Luteinizing hormone (LH) pulse frequency","University of Virginia|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Female","10 Years to 17 Years   (Child)","Early Phase 1","32","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Basic Science","18489|P50HD028934","July 2016","April 2025","December 2025","March 3, 2017","null","July 2, 2018","University of Virginia Clinical Research Unit, Charlottesville, Virginia, United States","","https://ClinicalTrials.gov/show/NCT03068910"
228,"NCT02998684","Learning Enhancement Through Neurostimulation in Autism","LENS","Completed","Has Results","Autism","Device: Active Transcranial Direct Current Stimulation|Device: Sham Transcranial Direct Current Stimulation|Behavioral: PEERS Social Skills Training","Test of Adolescent Social Skills Knowledge (TASSK)|Social Responsiveness Scale (SRS)","Medical University of South Carolina|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","14 Years to 17 Years   (Child)","Not Applicable","25","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","Pro00056912","July 2016","July 2017","July 2017","December 20, 2016","September 3, 2018","September 3, 2018","Medical Univeristy of South Carolina, Charleston, South Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/84/NCT02998684/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02998684"
229,"NCT02916862","Effect of Soluble Corn Fiber Supplementation for 1 Year on Bone Metabolism in Adolescents",,"Withdrawn","No Results Available","Osteoporosis","Dietary Supplement: Soluble Corn Fiber (SCF) without Calcium|Dietary Supplement: Soluble Corn Fiber (SCF) + Calcium|Dietary Supplement: Placebo","Change in bone mineral content (BMC)|Change in vitamin D status|Change in serum calcium|Change in serum phosphate|Change in bone alkaline phosphatase|Change in parathyroid hormone (PTH)|Change in osteocalcin|Change in bone specific alkaline phosphatase","University of Puerto Rico|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","11 Years to 14 Years   (Child)","Phase 2|Phase 3","0","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Basic Science","A4540116|1SC1HD089556-01","December 2017","May 2019","June 2020","September 28, 2016","null","May 28, 2018","","","https://ClinicalTrials.gov/show/NCT02916862"
230,"NCT02847689","Listening to Mom in the NICU: Neural, Clinical and Language Outcomes",,"Recruiting","No Results Available","Premature Birth","Behavioral: Language Treatment|Behavioral: Control Treatment","White matter mean diffusivity|Length of hospital stay|Average daily weight gain|Time (days) to full oral feed|Number of significant apnea and bradycardia events requiring stimulation","Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","24 Weeks to 31 Weeks   (Child)","Phase 1","42","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","32638|1K99HD084749-01A1","July 2016","August 1, 2019","December 31, 2019","July 28, 2016","null","April 4, 2019","Stanford University - Lucile Packard Children's Hospital, Palo Alto, California, United States","","https://ClinicalTrials.gov/show/NCT02847689"
231,"NCT02813889","SmarToyGym: Smart Detection of Atypical Toy-oriented Actions in At-risk Infants",,"Recruiting","No Results Available","Cerebral Palsy|Developmental Delay|Stroke|Fine Motor Delay|Infant Development|Other Development Delays","Device: SmarToyGym","Toy contact|Grasp|Hand Kinematics|Center of Pressure|Leg kinematics","University of Pennsylvania|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","3 Months to 11 Months   (Child)","Not Applicable","30","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","822487|1R21HD084327-01","May 2015","May 2019","September 2019","June 27, 2016","null","January 11, 2019","Childrens Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|Kristine Lima, Philadelphia, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT02813889"
232,"NCT02787174","A Computer-Based ED Intervention to Improve Pediatric Asthma Medicine Adherence","ED-AMAP","Active, not recruiting","No Results Available","Asthma","Other: Asthma Medication Adherence Education","Asthma controller medication adherence|Unscheduled healthcare use (self-report survey and chart review)|Quality-of-Life (QOL)|Sustained Asthma controller medication adherence","Rhode Island Hospital|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","2 Years to 12 Years   (Child)","Not Applicable","104","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Other","629210|R21HD082621","February 2016","January 2018","May 2018","June 1, 2016","null","April 10, 2018","Hasbro Children's Hospital, Providence, Rhode Island, United States","","https://ClinicalTrials.gov/show/NCT02787174"
233,"NCT02599545","Testosterone and Cortisol Levels in Infants",,"Terminated","No Results Available","Infant, Premature|Infant, Very Low Birth Weight","","measurements of maternal and neonate/infant testosterone and cortisol (T&C) levels from admission through 24-months of life to determine associations of T&C with health outcomes of neonates and infants between genders|video recorded interactions at 12- and 24-months to determine associations of testosterone and cortisol levels with quality of mother-infant interactions between genders during infancy|standard infant testing at 12- and 24-months of age to determine associations of testosterone and cortisol levels with infant cognitive/motor/language development between genders during infancy","Duke University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","up to 72 Hours   (Child)","","300","Other|NIH","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Pro00065480","October 2015","February 2, 2017","February 2, 2017","November 6, 2015","null","July 24, 2017","Duke University Medical Center, Durham, North Carolina, United States","","https://ClinicalTrials.gov/show/NCT02599545"
234,"NCT02588391","Brain Training in Preterm Children at Risk for Inattention, Hyperactivity, and Executive Function Impairment",,"Recruiting","No Results Available","Premature Birth","Behavioral: Brain Training (Active)|Behavioral: Brain Training (Passive)|Behavioral: Brain Training (Active or Passive)","Change from baseline on Executive Function Composite Measure at 2 months|Change from baseline on Executive Function Composite Measure at 5 months|Change from baseline on Executive Function Composite Measure at 8 months|Change from baseline on Early Academic Skills Measures at 8 months|Change from 8-month Executive Function Composite Measure at 10 months (cross over groups)","Stanford University|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","4 Years to 5 Years   (Child)","Not Applicable","40","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","30874|K23HD071971","October 2015","December 2018","December 2019","October 27, 2015","null","August 21, 2018","Stanford University School of Medicine, Stanford, California, United States","","https://ClinicalTrials.gov/show/NCT02588391"
235,"NCT02567630","Early Childhood Constraint Therapy in Cerebral Palsy",,"Recruiting","No Results Available","Cerebral Palsy","Behavioral: Soft Mitt Constraint Therapy for Sensory/Motor Impairment in Cerebral Palsy","Kinematics of reach|Somatosensory processing measurement by ERP|Bayley Scales of Infant and Toddler Development (Bayley III) — 3rd Edition","Nathalie Maitre|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Nationwide Children's Hospital","All","10 Months to 24 Months   (Child)","Not Applicable","216","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","IRB15-00547|R01HD081120-02","October 1, 2015","August 31, 2019","August 2020","October 5, 2015","null","February 23, 2018","Nationwide Children's Hospital, Columbus, Ohio, United States|Nationwide Children's Hospital, Columbus, Ohio, United States","","https://ClinicalTrials.gov/show/NCT02567630"
236,"NCT02475876","PK of Clindamycin and Trimethoprim-sulfamethoxazole in Infants and Children","PBPK","Active, not recruiting","No Results Available","Bacterial Infections","Drug: Clindamycin|Drug: trimethoprim-sulfamethoxazole","Maximum observed plasma concentration at steady state (Cmaxss) - clindamycin|Area under the plasma concentration versus time curve from the start to the end of one dosing interval at steady state (AUCss) - clindamycin|Maximum observed plasma concentration at steady state (Cmaxss) - Trimethoprim-Sulfamethoxazole|Area under the plasma concentration versus time curve from the start to the end of one dosing interval at steady state (AUCss) - Trimethoprim-Sulfamethoxazole|Number of reported AEs and SAEs|Number of Subjects Heterozygous for any CYP3A Family Genotype|Number of Subjects Heterozygous for any CYP2C9 Genotype|Number of Subjects Homozygous for any CYP3A Family Genotype|Number of Subjects Homozygous for any CYP2C9 Genotype","Michael Cohen-Wolkowiez|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Duke University","All","1 Month to 16 Years   (Child)","Phase 1","51","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","PRO00057185|1R01HD076676-01A1","November 2015","August 31, 2018","May 30, 2019","June 19, 2015","null","November 7, 2018","Arkansas Children's Hospital, Little Rock, Arkansas, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|University of Michigan C.S. Mott Children's Hospital, Ann Arbor, Michigan, United States","","https://ClinicalTrials.gov/show/NCT02475876"
237,"NCT02361762","Gaming for Autism to Mold Executive Skills Project","GAMES","Completed","Has Results","Autism Spectrum Disorders","Behavioral: Computerized executive control training","Change Task - Inhibition Function|Stroop Task (Difference in Percentage of Correct Responses for Congruent Minus Incongruent Trials)|Event-related Potentials Assessed During Child Attention Network Flanker Task|BRIEF Parent Survey (Global Executive Composite)|Backward Digit Span (Scaled Score)|Social Attribution Task (SAT)|Theory of Mind Composite: Perception Knowledge, Location Change False Belief, Unexpected-contents False Belief|TOM Test (Theory of Mind Test)|Social Skills Improvement System-Parent (SSIS) - Social Standard Score|Narrative Language Task|Performance on Hungry Donkey Task Assessed as Ratio of Safe to Risky Selections|Event-related Potentials Assessed During Cued Go/Nogo Task","Boston Children’s Hospital|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","7 Years to 11 Years   (Child)","Not Applicable","70","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","P00014188|R00HD071966","February 2015","November 2017","November 2017","February 12, 2015","February 20, 2019","February 20, 2019","Boston Children's Hospital: Labs of Cognitive Neuroscience- Faja Lab, Boston, Massachusetts, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/62/NCT02361762/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02361762"
